Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2268,5.525517125,5.539529848,5.344592511,5.575955284,5.417588355,5.670014331,5.728875812,5.171437313,5.197787888,5.153058367,5.446004276,5.374988157
b2269,1.524504992,0.960954707,0.715563538,1.05745897,0.835544907,1.000717069,0.472925013,0.693475268,1.200034844,1.168182739,1.277572832,1.502547467
b2270,2.12571436,2.333116308,2.220122347,1.869614571,2.194307192,2.207407103,2.146736053,1.787843022,2.023370926,1.557811917,2.052008858,1.988253618
b2271,1.088694204,1.124543494,1.138166156,0.470106479,1.183781821,1.168740483,1.045546107,1.135599362,0.82075606,0.758068478,1.275478475,0.841047638
b2272,3.003767918,3.194857994,3.186947717,3.043231755,3.187834783,2.867032746,2.982425788,3.283927473,3.096571924,3.142711486,2.841010537,3.021862455
b2273,1.337747863,1.707885855,2.134870109,1.85242175,1.514305995,1.796185268,2.052246468,1.51332871,1.509387143,1.689528469,1.289580621,1.350265312
b2274,3.030389474,2.631908572,2.939121686,2.97453788,3.219887275,3.087662643,2.939025766,3.047872605,2.695649656,2.713522638,3.061048843,2.778074201
b2275,3.422918132,3.355307466,2.956142077,3.327817404,3.316106825,3.673739032,3.054831823,3.205263694,3.199851944,2.873997353,3.091388952,3.095922228
b2276,7.622533044,8.566924461,8.546819406,8.542481308,8.385084774,8.294025417,8.418850457,7.700723972,7.715482227,7.655552275,7.819536379,7.77942933
b2277,7.935001921,8.768730733,8.605213005,8.72647353,8.664498581,8.58516235,8.656621753,7.765777053,7.89046198,7.771355212,7.914144569,7.915410883
b2278,7.175668362,8.24206563,8.114575701,8.17434154,8.020540183,7.995957371,7.92191246,7.119669035,7.325682363,7.266907053,7.510501079,7.443875397
b2279,6.748133201,7.713438376,7.611495037,7.632323827,7.659309017,7.523177404,7.42362064,6.797901315,6.956401387,6.875450978,7.099756156,7.043064499
b2280,7.502575612,8.448393991,8.355578219,8.338277651,8.405241132,8.210778945,8.111074064,7.55605408,7.615108208,7.599435338,7.715433957,7.727714673
b2281,7.426135927,8.554705786,8.491970144,8.52631401,8.495965904,8.501578857,8.425030197,7.509582958,7.610931016,7.588541657,7.752149463,7.698083182
b2282,7.609251451,8.61409343,8.573557086,8.573197889,8.600456652,8.460851658,8.471341086,7.708200873,7.73347477,7.734848465,7.86759383,7.795585369
b2283,8.03377511,8.976459478,8.975842577,9.126173162,9.052931261,9.010290534,9.057672869,7.865297052,7.948455698,7.84862505,8.080048021,8.074282654
b2284,7.657715565,8.664846219,8.649669917,8.74629554,8.737491677,8.679988825,8.676572618,7.692919043,7.721537782,7.73789138,7.860427759,7.847459611
b2285,8.550102302,9.545989805,9.668562643,9.63696472,9.63151622,9.538891718,9.482111774,8.514913536,8.53800457,8.528603839,8.548182592,8.669508858
b2286,8.493062092,9.280618194,9.240805117,9.334342118,9.384799505,9.409843892,9.369670939,8.221624311,8.312076099,8.241540496,8.467651229,8.42028488
b2287,9.153642627,9.778380684,9.67723558,9.683733728,9.79679452,9.706117561,9.742081216,8.96774439,8.970328504,8.966042105,9.25299269,9.156771645
b2288,9.682448201,10.09740086,10.10618759,10.15892722,10.19159438,10.15296601,10.19730238,9.507151609,9.524282111,9.463467732,9.715623366,9.668345318
